title,context,question,answer_text,answer_start
Republik Rakyat Tiongkok,"Secara resmi RRT memandang dirinya sendiri sebagai satu bangsa (Tionghoa) yang multi-etnis dengan 56 etnisitas yang diakui. Mayoritas etnis Han menyusun hampir 93% populasi; bagaimanapun merupakan mayoritas dalam hanya hampir setengah daerah Tiongkok. Penduduk bangsa Han sendiri heterogen, dan bisa dianggap sebagai kumpulan pelbagai etnik yang mengamalkan budaya dan bercakap bahasa yang sama. Kebanyakan suku Han bertutur macam-macam bahasa vernakular Tionghoa, yang bisa dilihat sebagai 1 bahasa atau keluarga bahasa. Subdivisi terbesar bahasa Tionghoa yang diucapkan ialah bahasa Mandarin, dengan lebih banyak pembicara daripada bahasa lainnya di dunia. Versi standar Mandarin yang didasarkan pada dialek Beijing, dikenal sebagai Putonghua, diajarkan di sekolah dan digunakan sebagai bahasa resmi di seluruh negara.",Apakah bahasa resmi Republik Rakyat Tiongkok?,Mandarin,585
Subtropis," Subtropis adalah wilayah Bumi yang berada di utara dan selatan setelah wilayah tropis yang dibatasi oleh garis balik utara dan garis balik selatan pada lintang 23,5° utara dan selatan. Kondisi iklim subtropis diwarnai dengan gangguan dan rintangan dari alam seperti badai, hujan salju, atau tornado. Daerah beriklim subtropis memiliki 4 musim yaitu musim semi, musim panas, musim gugur, dan musim dingin. Keempat musim di atas memiliki karakteristik tersendiri, dengan suhu maksimal, suhu minimal, kelembaban, maupun kondisi mahluk hidup yang berbeda. Daerah subtropis di belahan bumi utara meliputi:",apakah yang dimaksud dengan subtropika ?,"wilayah Bumi yang berada di utara dan selatan setelah wilayah tropis yang dibatasi oleh garis balik utara dan garis balik selatan pada lintang 23,5° utara dan selatan",18
Belize,"Honduras Britania menjadi koloni berpemerintahan sendiri pada Januari 1964 dan dinamai Belize pada Juni 1973; merupakan koloni terakhir Britania Raya di daratan Amerika. George Price memimpin negeri ini mendapatkan kemerdekaan penuh pada 21 September 1981 setelah tertunda karena pertentangan wilayah dengan Guatemala di sebelahnya, yang secara resmi tak mengakui negeri ini hingga 1991.",Kapan negara Belize berdiri ?,21 September 1981,238
Gunung berapi kerucut,"Gunung berapi kerucut, juga dikenal sebagai gunung berapi komposit atau stratovolkano, ialah pegunungan (gunung berapi) yang tinggi dan mengerucut yang terdiri atas lava dan abu vulkanik yang mengeras. Bentuk gunung berapi itu secara khas curam di puncak dan landai di kaki karena aliran lava yang membentuk gunung berapi itu amat kental karena banyak mengandung silika, dan begitu dingin serta mengeras sebelum menyebar jauh. Lava seperti itu dikelompokkan asam karena tingginya konsentrasi silikat. Di ujung lain spektrum itu ialah gunung berapi pelindung (seperti Mauna Loa di Hawaii), yang terbentuk dari lava yang kurang kental, memberinya dasar kuat dan dengan hati-hati raut yang melandai, pakai translasi otomatis itu jangan percaya, stratovolcano memiliki kemiringan yang curam pada bagian puncak dan kemiringan yang lebih landai pada bagian kaki, sehingga sisi-sisinya seperti dua bidang konkaf (cekung) yang menghadap ke atas. Banyak stratovolcano yang melampaui ketinggian 2500 m. Sering tercipta oleh subduksi lempeng tektonik.",Bagaimanakah rata-rata bentuk kerucut gunung api Indonesia ?,curam di puncak dan landai di kaki,239
"Tanjung Priok, Jakarta Utara","Pengerjaan Pelabuhan Tanjung Priok dimulai pada bulan Mei 1877 dan selesai pada tahun 1886. Dimulai dengan pembangunan Pelabuhan I setelah adanya ketentuan bahwa kegiatan Pelabuhan Sunda Kelapa dipindahkan ke Tanjung Priok. Perencana pelabuhan ini adalah Ir.J.A.A. Waldrop, seorang insinyur yang berasal dari Belanda sedangkan pelaksananya adalah Jr. J.A. de Gelder dari Departement B.O.W., seorang Insinyur Perairan. Dengan diresmikannya Pelabuhan Tanjung Priok 1886, maka kegiatan pelabuhan utama Batavia yang semula berada di Kali Ciliwung sekitar kasteel Batavia dialihkan ke Pelabuhan Tanjung Priok, dan Pelabuhan Kali Ciliwung tersebut, kemudian dikenal dengan nama Pelabuhan Pasar Ikan. Selain membangun Pelabuhan Tanjung Priok, KPM juga membangun Pelabuhan Teluk Bayur-Padang (Port Van der Capellen) pada tahun 1886 dan Pelabuhan Belawan Deli tahun 1891. Pada awal peresmiannya, hanya beberapa kapal bermesin uap dan mayoritas adalah kapal-kapal layar. Memasuki abad ke-20 jumlah kapal bermesin uap meningkat menggantikan kapal-kapal layar. Pada tahun 1912 sejalan dengan perkembangan ekonomi yang pesat pelabuhan itu dirasakan terlalu kecil maka dilakukan perluasan.",Kapan Tanjung Priok pertama kali dijadikan pelabuhan ?,1886,463
Skotlandia,"Edinburgh, ibu kota negara dan kota terbesar kedua, adalah salah satu pusat keuangan terbesar di Eropa.[12] Edinburgh pernah menjadi pusat Pencerahan Skotlandia pada abad ke-18, yang mengubah Skotlandia menjadi salah satu kekuatan industri, perdagangan, dan intelektual di Eropa. Glasgow, kota terbesar di Skotlandia,[13] pernah menjadi salah satu kota industri terkemuka di dunia dan saat ini berlokasi di pusat konurbasi Glasgow Raya. Perairan Skotlandia terdiri dari sejumlah besar sektor[14] Atlantik Utara dan Laut Utara, mengandung cadangan minyak terbesar di Uni Eropa. Karena hal ini, Aberdeen, kota terbesar ketiga di Skotlandia, dijuluki dengan ibu kota minyak Eropa.[15]",Apa nama kota terbesar di Skotlandia ?,Glasgow,280
Riyal Saudi,"Riyal (Arabic: ريال‎ Riyāl, ISO 4217 code: SAR) merupakan mata uang Kerajaan Arab Saudi. Sering disingkat ر.س atau SR (Saudi Riyal). Mata uang ini dibagi ke dalam 100 Halala (Arabic: هللة‎ Halalah). Ghirsh senilai 5 Halala.",Apa mata uang Arab Saudi?,Riyal,0
Maria,"Maria (Aram-Yahudi מרים Maryām ""pahit""; Bahasa Yunani Septuaginta Μαριαμ, Mariam, Μαρια, Maria; bahasa Arab: Maryam, مريم) adalah ibu Yesus dan tunangan yang kemudian menjadi istri Yusuf[1] dalam Kekristenan.",Siapa ibu Yesus?,Maria,0
Gempa bumi Lisboa 1755,"Gempa mengguncang pada pagi 1 November, hari libur Katolik Hari Semua Orang Kudus. Laporan saat itu menyatakan bahwa gempa yang berlangsung antara tiga setengah hingga enam menit, menyebabkan rekahan besar selebar lima meter yang muncul di tengah kota. Orang yang selamat segera bergegas menuju ke dermaga untuk menyelamatkan diri dan ketika tampak air mulai menyusut, disebutkan di lantai samudra terdapat sampah kargo dan kapal tua. Sekitar empat puluh menit setelah gempa, tsunami besar menghantam pelabuhan dan masuk ke kota melalui sungai Tagus. Gempa itu disusul lebih dari dua gelombang. Di area yang tidak terkena tsunami, kebakaran hebat terjadi tiba-tiba, dan api membakar selama tiga hari.",Berapa lama Gempa bumi Lisboa 1755 terjadi?,antara tiga setengah hingga enam menit,140
Sunsilk,"1952: Diluncurkan untuk pertama kalinya di pasar Indonesia (dalam botol kaca). 1970: Sunsilk diluncurkan kembali dengan menggunakan botol rancangan Internasional dan pada saat yang sama varian kedua “lemon” diluncurkan. 1975: Sunsilk hitam – sampo hitam pertama yang diperkenalkan di pasar dan kemudian menjadi varian tulang punggung merek ini. 1984: Sunsilk mengganti bentuk botol dan kemasan Baru dan mempunyai 4 varian: Urang Aring, Lidah Buaya, Seledri dan Egg 1986: Sunsilk mengganti wajah baru dengan 4 Varian yang sama dengan sebelumnya 1990: Sunsilk kembali mengganti kemasan baru dengan memakai Inez Tagor sebagai Model Kemasan Sunsilk 1993: Sunsilk Mengganti kemasan baru dan meluncurkan Varian Baru: Telur & Madu, Rumput Laut & Ultra Mild 1995: Sunsilk meluncurkan varian Sunsilk Sari Santan & Mawar dan diperkenalkan di pasar. 1997: Peluncuran kembali produk Sunsilk (5 varian) dengan menggunakan pendekatan varian ganda dan juga bentuk botol baru. 1999: Peluncuran kembali deretan dengan menggunakan Fruitamin sebagai pendekatan baru teknologi ilmu alam (Proyek Apolo). 2000: Sunsilk Meluncurkan Ulang Sunsilk Jeruk Nipis & Rumput Laut menjadi Sunsilk Anti Ketombe 2000: Sunsilk meluncurkan varian Extra Mild (Chamomile) 2000: Sunsilk Meluncurkan ulang Sunsilk Urang Aring & Kemiri menjadi Sunsilk Kemilau Rambut Hitam 2001: Peluncuran kembali Sunsilk dengan menggunakan bahan bergizi sebagai pendekatan teknologi baru (Proyek Voyager). 2003: Sunsilk Meluncurkan kembali Varian Sunsilk dengan menggunakan bentuk botol baru (Proyek Merkuri). 2004: Sunsilk Meluncurkan Varian Baru Sunsilk. Sunsilk Silky Straight dengan Nutrisilk Zaitun Complex 2004: Sunsilk meluncurkan shampoo pertama khusus wanita berhijab di Indonesia, Sunsilk Clean & Fresh 2005: Sunsilk meluncurkan Sunsilk Hair Nourisher/Sunsilk Conditioner 2005: Sunsilk meluncurkan Sunsilk Leave On Mouisturizer 2005: Sunsilk meluncurkan Ulang Sunsilk Anti Dandruff menjadi Sunsilk Double Care Anti Dandruff 2005: Sunsilk meluncurkan Varian Baru: Weighty & Smooth, Color Lock dan Summer Fresh (limited Edition) 2006: Peluncuran kembali produk Sunsilk dengan rancangan permukaan baru (Proyek Aurous). 2007: Sunsilk meluncurkan Varian Baru Sunsilk Hair Fall Solution 2008: Sunsilk melakukan revolusi 6 varian baru dengan bentuk botol baru dengan slogan ""Sebab hidupmu tak bisa menunggu, juga rambut indahmu"". 2010: Sunsilk kembali Melakukan Revolusi dengan Inovasinya Di Industri Kecantikan Rambut. Sunsilk Bekerja Sama Dengan 7 Pakar Rambut Dunia Untuk menghasilkan Formulasi Terbaik Sunsilk Yang Menggabungkan Teknologi Tinggi Yang Dimiliki Sunsilk Dengan Ilmu Dan Pengalaman Dari Para Ahli Rambut Terkemuka Di Bidangnya. Dengan Pakar-pakar Rambut Yang memiliki Keahlian Di bidangnya Masing-Masing Untuk Mengatasi Berbagai Permasalahan Rambut, Sunsilk Membawa Solusi Bagi Para Wanita Di dunia Yang menginginkan Penampilan yang Sempurna Dengan Rambut Yang Indah dan Bebas Masalah. 2013: Sunsilk Kembali Melakukan Revolusi dengan wajah Baru dan masih bekerja sama dengan 7 Pakar rambut Dunia. 2014 Sunsilk meluncurkan ulang varian Sunsilk Hair fall Solution yang sebelumnya mengandung Soya Vitamin Complex Kini sekarang mengandung ROOT LOCK MINERAL 2015: Sunsilk Meluncurkan Varian terbaru LIVELY STRAIGHT 2016: Sunsilk hadir dengan kemasan dan bentuk botol baru sekaligus meluncurkan rangkaian Sunsilk Hijab Recharge. 2018: Sunsilk Meluncurkan Varian Baru Sunsilk Hijab Recharge yaitu Sunsilk Hijab Refresh & Anti Dandruff, Sunsilk Hijab Refresh & volume, dan Sunsilk Hijab Refresh Hair Fall Solution 2018: Sunsilk meluncurkan ulang Sunsilk Black Shine Baru dengan ANTI UV ACTIVE agar melindungi rambut dari Sinar Matahari 2019: Sunsilk kembali Meluncurkan varian baru Sunsilk yaitu Sunsilk Thick & Long dengan Biotin dan Aloe Vera ( Lidah Buaya)",Apakah slogan sampo Sunsilk?,"Sebab hidupmu tak bisa menunggu, juga rambut indahmu",2322
